$OR;D2 
* From-Time  To-Time 
8.00 9.00 
* Factor
1.00
* some
* additional
* comments
		9162000		9162000		0
		9162000		9162025		6
		9162000		9162028		2
		9162000		9162038		10
		9162000		9162043		2
		9162000		9162044		2
		9162000		9162045		1
		9162000		9162046		1
		9162000		9162047		1
		9162000		9162048		1
		9162000		9162058		0
		9162000		9162059		0
		9162000		9162060		0
		9162000		9162061		0
		9162000		9162062		0
		9162000		9162063		1
		9162000		9162064		4
		9162000		9162065		1
		9162000		9162066		1
		9162000		9162067		3
		9162000		9162068		2
		9162000		9162069		4
		9162000		9162070		2
		9162000		9162071		1
		9162000		9162072		2
		9162000		9162074		1
		9162000		9162075		2
		9162000		9162078		3
		9162000		9162084		13
		9162000		9162085		4
		9162000		9162087		0
		9162000		9162090		1
		9162000		9162091		1
		9162000		9162092		2
		9162000		9162094		1
		9162000		9162095		0
		9162000		9162099		1
		9162000		9162101		1
		9162000		9162104		3
		9162000		9162105		2
		9162000		9162108		0
		9162000		9162109		1
		9162000		9162110		1
		9162000		9162111		4
		9162000		9162112		0
		9162000		9162113		1
		9162000		9162122		1
		9162000		9162123		4
		9162000		9162124		1
		9162000		9162125		1
		9162000		9162126		7
		9162000		9162127		1
		9162000		9162129		1
		9162000		9162132		0
		9162000		9162133		1
		9162000		9162140		1
		9162000		9162159		1
		9162000		9162160		4
		9162000		9162161		1
		9162000		9162162		2
		9162000		9162163		0
		9162025		9162000		6
		9162025		9162025		0
		9162025		9162028		6
		9162025		9162038		22
		9162025		9162043		5
		9162025		9162044		2
		9162025		9162045		2
		9162025		9162046		1
		9162025		9162047		1
		9162025		9162048		1
		9162025		9162058		1
		9162025		9162059		0
		9162025		9162060		0
		9162025		9162061		1
		9162025		9162062		0
		9162025		9162063		0
		9162025		9162064		6
		9162025		9162065		3
		9162025		9162066		4
		9162025		9162067		4
		9162025		9162068		5
		9162025		9162069		6
		9162025		9162070		6
		9162025		9162071		2
		9162025		9162072		4
		9162025		9162074		2
		9162025		9162075		4
		9162025		9162078		6
		9162025		9162084		22
		9162025		9162085		9
		9162025		9162087		1
		9162025		9162090		2
		9162025		9162091		1
		9162025		9162092		3
		9162025		9162094		1
		9162025		9162095		1
		9162025		9162099		1
		9162025		9162101		2
		9162025		9162104		5
		9162025		9162105		4
		9162025		9162108		1
		9162025		9162109		1
		9162025		9162110		1
		9162025		9162111		11
		9162025		9162112		1
		9162025		9162113		1
		9162025		9162122		2
		9162025		9162123		8
		9162025		9162124		3
		9162025		9162125		5
		9162025		9162126		17
		9162025		9162127		4
		9162025		9162129		4
		9162025		9162132		1
		9162025		9162133		1
		9162025		9162140		2
		9162025		9162159		1
		9162025		9162160		8
		9162025		9162161		1
		9162025		9162162		4
		9162025		9162163		0
		9162028		9162000		2
		9162028		9162025		6
