230251452,2065,15,15
230251453,2402,15,8
230252869#0,1925,13,12
230254191,1098,12,14
230254196#0,2019,13,16
230254197#0,968,12,13
230359738.5,120,13,1
230359739#0,2079,13,13
230359740#0,184,13,2
230359741#0,363,13,3
231456467#0,0,0,0
231456469#0,2463,11,36
231456482#0,271,11,3
231851818#0,454,12,5
231855937#0,506,13,7
232583254,845,9,35
23462077,1496,1,188
24057099,230,15,2
241052498#0,695,0,282
241674893,5446,4,302
243452654#0,1211,4,131
244619315#0,0,0,0
24462849#0,1379,3,177
24462851,1308,7,94
25024362#0,3646,13,14
25244211,533,12,25
252729686#0,1183,12,13
25288456#0,0,0,0
25403292#0,1259,13,8
260345644,581,12,7
260345650#0,674,12,9
260345653#0,970,12,11
260345658#0,728,12,10
260345676#0,475,13,3
260510507#0,712,13,6
260510509#0,1380,12,13
260510555#0,0,0,0
260756022,846,13,11
260756029#0,1056,12,10
260756032,933,12,13
260756036#0,1043,12,10
261314510#0,0,0,0
261604625#0,0,0,0
264448396#0,164,13,1
264478234#0,399,13,5
264955140#0,315,12,10
264955141#0,983,11,31
264964139#0,570,12,9
265616622#0,0,0,0
265616995#0,305,13,1
265616996#0,409,13,6
266415535#0,1656,7,67
266415536,213,13,2
266415537#0,1466,10,30
266415538,106,12,3
266415539#0,449,9,27
266954745#0,0,0,0
26696133#0,2058,15,15
267576364#0,286,13,3
26798628,0,0,0
26824818,0,0,0
26824916#0,0,0,0
269170230#0,0,0,0
27149716#0,28,13,0
271888999#0,791,9,21
27201856#0,325,3,56
27417815#0,1721,11,35
276604358#0,0,0,0
277098634#0,0,0,0
28338977#0,3716,2,232
28395840#0,1819,0,488
287742028,214,15,1
289927470#0,507,13,2
290397695#0,348,13,4
290406781#0,0,0,0
290582411,1257,13,8
291798665,0,0,0
291798675,0,0,0
292767086#0,189,10,11
292781218,544,15,6
292911360,1564,8,73
292944729,1045,12,14
292946857#0,2711,6,108
292950400,307,12,12
292950406#0,292,12,3
292953660#0,543,13,7
292960291,1270,9,64
292960292,852,12,11
292960296#0,2033,10,40
292962069,1559,9,65
293475334#2,0,0,0
294363850#3,0,0,0
29448442#0,2515,4,231
296888159#0,853,2,197
298829443,1272,12,20
299732899#0,282,13,1
300559240#0,1598,8,52
30195491#0,1013,4,121
30294027,514,12,14
303365639#0,0,0,0
303515077#0,0,0,0
303993534,2389,4,256
304423859,47,13,0
304423860#0,2176,4,218
30603896#0,555,9,23
307219396#0,805,13,7
307219406#0,1551,13,13
30816594#0,0,0,0
30816874#0,491,12,14
30816876#0,1116,12,15
30817196,115,12,2
308784466#0,3031,12,13
30909676,0,0,0
30964917,189,11,4
31001039#0,1000,12,14
310707184,1902,5,124
310707187,157,12,1
310707193#0,798,13,5
310729848#0,988,10,21
310819636#0,631,13,7
310821941,1003,9,64
310821943#0,2783,9,40
310823109#0,2590,12,20
310823111#0,1775,9,66
310827994,1290,6,101
310843499,8,9,0
310843504,5,9,0
310844452,8,10,0
310855022#0,0,0,0
311181482#0,842,13,5
311181488#0,1341,13,8
311181489#0,1158,13,10
311181490#0,416,13,3
311337460#0,201,13,2
311374934#0,2137,13,29
311374935#0,3200,13,29
311644249#0,2011,13,8
311644648#0,572,13,4
311743097,806,13,6
311743098,912,13,7
31175345#0,89,13,0
31175347#0,100,13,1
31175540#1,1838,10,35
311893368#0,0,0,0
312121558,2040,11,32
31232317,1903,4,152
31343525,0,0,0
31344435,2422,10,56
313493934,0,0,0
31352158,389,13,2
313576545#0,1363,6,106
313579584#0,615,9,29
313579593,723,13,9
313579600,543,12,14
314164436#0,1797,12,17
314501980,0,0,0
314501984#0,0,0,0
315127281#0,1653,12,16
315127282#0,579,9,21
315127283#0,369,13,2
315156367#0,317,2,121
315202561,249,8,18
315202565,867,2,184
315202566,1082,6,121
315202568#0,2264,5,112
315220257,2692,12,31
315220259,2537,13,13
315220263,706,3,136
315220272#0,4182,11,38
315224429#0,792,12,7
315224431#0,1422,8,37
316009881#0,2020,5,223
316052825#0,0,0,0
316052843#0,989,12,15
316068183#0,1099,12,16
316068184#0,368,13,2
316068187#0,535,13,14
316110464,0,0,0
316110474,173,12,4
316110477#0,0,0,0
316433714#0,1748,5,132
31793557#0,3036,9,42
31987080,0,0,0
321353352,248,11,21
32256066#0,1558,13,10
323443315#0,545,13,14
323760352,670,4,124
323760851,747,13,6
32459666,381,2,87
32736018#0,0,0,0
32854656#0,595,13,7
32963803#0,0,0,0
33130041,324,6,66
33196724,601,13,9
33196984,0,0,0
33530169,483,2,59
33548773#0,4044,5,192
335959354,678,11,31
33708070#3,0,0,0
338649272#0,541,12,16
34114236,209,13,2
34114237#0,1684,11,18
34140425,793,8,44
34140427#0,66,13,0
34160676#0,291,12,8
341825014#0,13,12,0
341825028#0,78,12,0
341931158#0,790,4,21
341931167#0,0,0,0
341931169#0,0,0,0
341931170#0,150,13,1
341931171#0,512,5,15
341931172#0,985,13,8
341931176#0,428,4,8
342811198,0,0,0
342811200#0,0,0,0
35039839#3,653,11,11
35078622#0,1522,16,11
35078634,944,15,6
350873888#0,803,1,166
350873890,959,8,75
350873892,2437,11,28
35147152#0,1929,5,101
362368395#0,1263,6,79
362796882,615,13,8
364403783,121,12,3
364988555#0,1092,11,13
364988557,2049,13,13
364988558#0,660,12,6
364988560#0,740,13,4
364988564,1477,11,21
364988566#0,1046,11,15
364988568#0,464,13,2
365018749,1196,10,25
365075172#0,122,12,1
365075173#0,1467,12,14
365075175#0,1533,11,19
365075177#0,1263,10,27
36580422#0,788,13,4
36580429#0,733,13,6
366231817,293,11,11
366231819#0,542,2,126
366231825,293,12,11
366231831#0,948,7,57
366601212,35,27,0
366721040#0,507,12,14
366721047#0,624,13,8
366721052#0,1127,9,18
366721053#0,246,12,1
366721054#0,82,13,1
366742857#0,1592,11,18
368992147,180,13,4
36945720,835,12,11
36965397,0,0,0
37280850,1519,12,21
373538980#0,1390,23,19
37427647#0,659,2,113
37427651#0,0,0,0
376107908#0,2564,12,17
376401312#1,1047,8,52
37665393#0,1710,10,47
37665416#0,535,10,21
37665428,723,10,39
37665452,662,11,23
37666014,1078,15,7
37666023#0,2244,13,14
37690203#1,1556,12,10
37724033#0,371,7,10
37740361#0,226,13,2
37897189,498,6,54
380412858#0,0,0,0
380412863#0,0,0,0
38057573#0,366,12,9
38057574,309,13,8
3812293,0,0,0
38349485#0,863,4,137
384535860,1451,7,91
38562405#0,564,12,5
387216972#0,178,13,0
387216973#0,43,13,0
387216974#0,0,0,0
387216975#0,0,0,0
38862846#0,1372,9,45
38868058#0,1133,12,19
38926854,0,0,0
39032513,340,6,47
39085066#0,232,13,2
392069507,26,11,0
392219838#0,358,8,19
392862082#0,0,0,0
39322451#0,1182,11,22
39378780#0,624,12,17
394477746#0,0,0,0
394477749,0,0,0
394489296#0,609,6,72
394489297,1176,13,11
395687350,113,12,2
3960333#0,66,13,0
3993310,284,16,1
4000195,1201,12,6
4000479,3721,9,90
4002311,1224,7,75
4002315#1,759,6,66
4005733#0,2960,9,57
4008974,1663,4,84
4009456#0,73,13,1
4009458#0.606,0,0,0
40108565#0,552,11,10
40317918,3227,6,119
403255913,2268,7,104
4043493#0,0,0,0
4055594,0,0,0
4061740#0,213,12,5
4062194#0,0,0,0
406449689#1,0,0,0
4066170,0,0,0
4073959,0,0,0
4074939#0,2369,6,211
4075202#0,0,0,0
410466893,1435,10,43
4211364,53,12,1
42446216#1,2610,11,19
42750258#0,717,12,7
432534871#0.1196,0,0,0
435196486#0,204,9,10
436481055,214,13,8
4406775#0,46,12,0
4438085,120,12,1
4438086#1,189,12,2
445351846,329,12,11
445368655,76,13,1
446388294,133,12,3
4471065#0,1129,7,99
4488142,9,1,0
4513896,637,12,7
4519768#0,242,11,8
45357414#0,0,0,0
4564470#0,1188,2,182
4585581#0,149,12,0
4586078,0,0,0
4591432#0,552,11,12
4592533#0,239,1,167
4592554,464,0,188
4593209,598,5,64
4645383#0,0,0,0
4661107,290,1,100
4662600#0,722,13,9
466392843,333,12,6
467655363,0,0,0
467655364,0,0,0
467655365,0,0,0
4681312#1,926,15,10
468999132,0,0,0
47056807#0,606,12,8
475919639,2089,11,32
475919641#0,369,12,10
47634458#0,142,13,3
477942365#0,849,9,40
48242678,1751,13,15
4891007#0,144,13,3
49602857#0,855,13,7
49606428#0,197,1,22
49707121#0,255,7,46
49707125#0,125,6,4
49712177#0,203,13,2
49863572,828,13,7
49916205#0,227,0,45
50461240#0,1318,5,146
50636515#0,817,3,135
513293579,0,0,0
513315290#0,0,0,0
513315293#0,0,0,0
51476080,242,10,16
51508352#0,175,12,4
51537935,958,11,16
51775138#0,964,8,70
53221218#0,184,13,2
53298710#0,57,13,1
53298715,1314,15,9
54200283#0,0,0,0
551702994,545,6,55
552105041,2865,11,15
552799315#0,1071,13,14
55794323#0,1307,9,39
56198066#0,149,13,0
56316139,0,0,0
56542062#1,0,0,0
57690455#0,0,0,0
59177598#0,0,0,0
59392693,0,0,0
610857387,552,6,67
625373781#0,53,13,1
63108718#0,0,0,0
67433180,774,5,77
69810212#0,246,13,3
69811613#0,248,11,11
70909737#0,0,0,0
71360465,0,0,0
71360467#0,0,0,0
72546416#0,1090,11,26
78036567#0,508,11,8
78053580#0.466,343,12,2
8058982,0,0,0
8058985#0,0,0,0
8069179#0,182,12,4
85004762#0,2653,6,145
89707050#0,0,0,0
90394174#0,378,8,23
93063000,929,11,14
94450320#0,4184,5,167
95588661#0,0,0,0
95667932#0,3408,0,435
95800602,458,16,3
98481230,0,0,0
gneE6,232,11,6
