interval_begin;interval_end;interval_id;interval_sampledSeconds;interval_departed;interval_arrived;interval_entered;interval_left;interval_density;interval_laneDensity;interval_occupancy;interval_waitingTime;interval_timeLoss;interval_speed;interval_vaporized;typedInterval_begin;typedInterval_end;typedInterval_id;typedInterval_type;typedInterval_departed;typedInterval_arrived;typedInterval_entered;typedInterval_left;typedInterval_sampledSeconds;typedInterval_density;typedInterval_occupancy;typedInterval_waitingTime;typedInterval_timeLoss;typedInterval_speed;typedInterval_vaporized
29700.00;30600.00;e1Detector_243452654#0_1_259;2091.75;20;0;268;288;24.19;12.09;6.05;0.00;83.40;13.23;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_244619315#0_0_1518;0.00;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_24462849#0_0_457;2869.55;15;0;392;413;35.81;17.91;8.95;0.00;250.93;12.71;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_24462849#0_1_458;2869.55;15;0;392;413;35.81;17.91;8.95;0.00;250.93;12.71;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_24462851_0_85;1893.19;30;0;294;320;26.79;13.39;6.70;0.00;72.63;13.39;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_24462851_1_86;1893.19;30;0;294;320;26.79;13.39;6.70;0.00;72.63;13.39;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_25024362#0_0_221;440.16;0;0;101;101;8.21;2.05;1.03;0.00;4.43;13.67;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_25024362#0_0_233;440.16;0;0;101;101;8.21;2.05;1.03;0.00;4.43;13.67;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_25024362#0_1_222;440.16;0;0;101;101;8.21;2.05;1.03;0.00;4.43;13.67;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_25024362#0_1_234;440.16;0;0;101;101;8.21;2.05;1.03;0.00;4.43;13.67;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_25024362#0_2_223;440.16;0;0;101;101;8.21;2.05;1.03;0.00;4.43;13.67;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_25024362#0_2_235;440.16;0;0;101;101;8.21;2.05;1.03;0.00;4.43;13.67;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_25024362#0_3_224;440.16;0;0;101;101;8.21;2.05;1.03;0.00;4.43;13.67;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_25244211_0_209;330.34;0;0;67;68;5.47;1.37;0.68;0.00;0.01;13.80;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_252729686#0_0_208;403.69;17;15;56;58;5.85;1.95;0.98;0.00;1.70;13.86;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_252729686#0_1_207;403.69;17;15;56;58;5.85;1.95;0.98;0.00;1.70;13.86;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_252729686#0_2_206;403.69;17;15;56;58;5.85;1.95;0.98;0.00;1.70;13.86;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_25288456#0_0_379;0.00;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_25288456#0_1_380;0.00;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_25403292#0_0_928;74.37;0;0;94;94;7.98;2.00;1.00;0.00;2.63;13.08;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_25403292#0_1_929;74.37;0;0;94;94;7.98;2.00;1.00;0.00;2.63;13.08;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_25403292#0_2_930;74.37;0;0;94;94;7.98;2.00;1.00;0.00;2.63;13.08;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_25403292#0_3_931;74.37;0;0;94;94;7.98;2.00;1.00;0.00;2.63;13.08;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_260345644_0_776;328.84;0;0;38;42;3.23;1.62;0.81;0.00;5.37;13.52;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_260345644_1_777;328.84;0;0;38;42;3.23;1.62;0.81;0.00;5.37;13.52;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_260345650#0_0_539;362.69;0;0;61;60;4.85;2.42;1.21;0.00;4.18;13.80;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_260345650#0_1_540;362.69;0;0;61;60;4.85;2.42;1.21;0.00;4.18;13.80;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_260345653#0_0_778;334.25;23;23;74;74;7.94;2.65;1.32;0.00;7.90;13.58;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_260345653#0_1_779;334.25;23;23;74;74;7.94;2.65;1.32;0.00;7.90;13.58;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_260345653#0_2_780;334.25;23;23;74;74;7.94;2.65;1.32;0.00;7.90;13.58;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_260345658#0_0_541;183.72;0;0;93;93;7.60;3.80;1.90;0.00;4.32;13.60;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_260345658#0_1_542;183.72;0;0;93;93;7.60;3.80;1.90;0.00;4.32;13.60;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_260345676#0_0_773;107.76;0;0;31;31;2.64;0.88;0.44;0.00;2.40;13.05;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_260345676#0_1_774;107.76;0;0;31;31;2.64;0.88;0.44;0.00;2.40;13.05;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_260345676#0_2_775;107.76;0;0;31;31;2.64;0.88;0.44;0.00;2.40;13.05;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_260510507#0_0_1233;199.12;0;0;52;52;4.24;1.41;0.71;0.00;0.01;13.64;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_260510507#0_1_1234;199.12;0;0;52;52;4.24;1.41;0.71;0.00;0.01;13.64;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_260510507#0_2_1235;199.12;0;0;52;52;4.24;1.41;0.71;0.00;0.01;13.64;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_260510509#0_0_806;203.88;0;0;70;70;5.73;1.91;0.95;0.00;0.89;13.58;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_260510509#0_1_807;203.88;0;0;70;70;5.73;1.91;0.95;0.00;0.89;13.58;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_260510509#0_2_808;203.88;0;0;70;70;5.73;1.91;0.95;0.00;0.89;13.58;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_260510555#0_0_1238;0.00;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_260510555#0_1_1237;0.00;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_260510555#0_2_1236;0.00;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_260756022_0_804;442.70;0;0;68;69;5.65;2.83;1.41;0.00;3.31;13.49;;;;;;;;;;;;;;;;
